A1,B1002,F10,C21-1,S163,H1
A100,B1003,F1015,C51-2,S160,H2
A1000,B1007,F1052,C82-3,S55,H3
A1001,B1008,F1053,C52-4,S142,H4
A1004,B1010,F1098,C11-5,S33,H5
A1005,B1012,F111,C52-6,S94,H6
A1006,B1032,F114,C52-7,S107,H7
A1009,B1062,F140,C41-8,S141,H8
A101,B1067,F167,C71-9,S46,H9
A1011,B1089,F40,C01-10,S146,H10
A1013,B1094,F56,C81-11,S76,H11
A1014,B1095,F62,C82-12,S155,H12
A1016,B1101,F64,C82-13,S87,H13
A1017,B1114,F767,C12-15,S105,H14
A1018,B1116,F80,C72-16,S7,H15
A1019,B1119,F886,C72-17,S114,H16
A102,B1120,F894,C72-19,S63,H17
A1020,B1122,F92,C22-20,S43,H18
A1021,B1126,F985,C72-21,S127,H19
A1022,B1133,,C12-22,S68,H20
A1023,B1134,,C12-23,S21,H21
A1024,B1135,,C31-24,S26,H22
A1025,B1166,,C32-25,S75,H23
A1026,B1167,,C32-26,S10,
A1027,B1168,,C32-27,S101,
A1028,B1169,,C72-28,S34,
A1029,B1170,,C22-29,S61,
A103,B1171,,C22-30,S81,
A1030,B1172,,C52-31,S1,
A1031,B1173,,C22-32,S112,
A1033,B1176,,C61-33,S78,
A1034,B1177,,C62-34,S58,
A1035,B1178,,C62-35,S25,
A1036,B897,,C42-36,S57,
A1037,B899,,C12-37,S71,
A1038,B901,,C82-39,S38,
A1039,B907,,C12-40,S111,
A104,B917,,C92-41,S91,
A1040,B919,,C22-42,S9,
A1041,B920,,C92-43,S140,
A1042,B923,,C72-44,S161,
A1043,B929,,C92-45,S125,
A1044,B988,,C12-46,S77,
A1045,,,C12-47,S53,
A1046,,,C92-48,S40,
A1047,,,C92-49,S52,
A1048,,,C32-50,S32,
A1049,,,C72-51,S36,
A105,,,C92-52,S158,
A1050,,,C92-53,S3,
A1051,,,C92-54,S30,
A1054,,,C92-55,S118,
A1055,,,C72-57,S117,
A1056,,,C72-58,S16,
A1057,,,C92-59,S92,
A1058,,,C32-60,S17,
A1059,,,C62-61,S50,
A106,,,C22-62,S95,
A1060,,,C12-63,S97,
A1061,,,C92-64,S147,
A1063,,,C12-65,S99,
A1064,,,C12-66,S59,
A1065,,,C12-67,S13,
A1066,,,C12-68,S108,
A1068,,,C32-69,S110,
A1069,,,C12-70,S149,
A107,,,C12-71,S12,
A1070,,,C32-72,S24,
A1071,,,C12-73,S150,
A1072,,,C12-74,S56,
A1073,,,C32-75,S6,
A1074,,,C32-76,S89,
A1075,,,C32-77,S122,
A1076,,,C32-78,S162,
A1077,,,C32-79,S42,
A1078,,,C12-80,S79,
A1079,,,C12-81,S11,
A108,,,C32-82,S135,
A1080,,,C62-83,S157,
A1081,,,C62-84,S8,
A1082,,,C62-85,S70,
A1083,,,C62-86,S64,
A1084,,,C62-87,S31,
A1085,,,C62-88,S48,
A1086,,,C62-89,S103,
A1087,,,C62-90,S44,
A1088,,,C62-91,S164,
A109,,,C62-92,,
A1090,,,C62-93,,
A1091,,,C62-94,,
A1092,,,C62-95,,
A1093,,,C62-96,,
A1096,,,C62-97,,
A1097,,,C62-98,,
A1099,,,C62-99,,
A11,,,C62-100,,
A110,,,C62-101,,
A1100,,,C62-102,,
A1102,,,C62-103,,
A1103,,,C62-104,,
A1104,,,C62-105,,
A1105,,,C62-106,,
A1106,,,C62-107,,
A1107,,,C62-108,,
A1108,,,C62-110,,
A1109,,,C62-111,,
A1110,,,C62-112,,
A1111,,,C62-113,,
A1112,,,C62-114,,
A1113,,,C62-115,,
A1115,,,C62-116,,
A1117,,,C62-118,,
A1118,,,C62-119,,
A112,,,C12-120,,
A1121,,,C62-121,,
A1123,,,C32-122,,
A1124,,,C62-123,,
A1125,,,C62-124,,
A1127,,,C62-125,,
A1128,,,C62-126,,
A1129,,,C62-127,,
A113,,,C22-128,,
A1130,,,C62-129,,
A1131,,,C32-130,,
A1132,,,C12-131,,
A1136,,,C62-132,,
A1137,,,C92-133,,
A1138,,,C62-134,,
A1139,,,C62-135,,
A1140,,,C62-136,,
A1141,,,C62-137,,
A1142,,,C62-138,,
A1143,,,C12-139,,
A1144,,,C12-140,,
A1145,,,,,
A1146,,,,,
A1147,,,,,
A1148,,,,,
A1149,,,,,
A115,,,,,
A1150,,,,,
A1151,,,,,
A1152,,,,,
A1153,,,,,
A1154,,,,,
A1155,,,,,
A1156,,,,,
A1157,,,,,
A1158,,,,,
A1159,,,,,
A116,,,,,
A1160,,,,,
A1161,,,,,
A1162,,,,,
A1163,,,,,
A1164,,,,,
A1165,,,,,
A117,,,,,
A1174,,,,,
A1175,,,,,
A118,,,,,
A119,,,,,
A12,,,,,
A120,,,,,
A121,,,,,
A122,,,,,
A123,,,,,
A124,,,,,
A125,,,,,
A126,,,,,
A127,,,,,
A128,,,,,
A129,,,,,
A13,,,,,
A130,,,,,
A131,,,,,
A132,,,,,
A133,,,,,
A134,,,,,
A135,,,,,
A136,,,,,
A137,,,,,
A138,,,,,
A139,,,,,
A14,,,,,
A141,,,,,
A142,,,,,
A143,,,,,
A144,,,,,
A145,,,,,
A146,,,,,
A147,,,,,
A148,,,,,
A149,,,,,
A15,,,,,
A150,,,,,
A151,,,,,
A152,,,,,
A153,,,,,
A154,,,,,
A155,,,,,
A156,,,,,
A157,,,,,
A158,,,,,
A159,,,,,
A16,,,,,
A160,,,,,
A161,,,,,
A162,,,,,
A163,,,,,
A164,,,,,
A165,,,,,
A166,,,,,
A168,,,,,
A169,,,,,
A17,,,,,
A170,,,,,
A171,,,,,
A172,,,,,
A173,,,,,
A174,,,,,
A175,,,,,
A176,,,,,
A177,,,,,
A178,,,,,
A179,,,,,
A18,,,,,
A180,,,,,
A181,,,,,
A182,,,,,
A183,,,,,
A184,,,,,
A185,,,,,
A186,,,,,
A187,,,,,
A188,,,,,
A189,,,,,
A19,,,,,
A190,,,,,
A191,,,,,
A192,,,,,
A193,,,,,
A194,,,,,
A195,,,,,
A196,,,,,
A197,,,,,
A198,,,,,
A199,,,,,
A2,,,,,
A20,,,,,
A200,,,,,
A201,,,,,
A202,,,,,
A203,,,,,
A204,,,,,
A205,,,,,
A206,,,,,
A207,,,,,
A208,,,,,
A209,,,,,
A21,,,,,
A210,,,,,
A211,,,,,
A212,,,,,
A213,,,,,
A214,,,,,
A215,,,,,
A216,,,,,
A217,,,,,
A218,,,,,
A219,,,,,
A22,,,,,
A220,,,,,
A221,,,,,
A222,,,,,
A223,,,,,
A224,,,,,
A225,,,,,
A226,,,,,
A227,,,,,
A228,,,,,
A229,,,,,
A23,,,,,
A230,,,,,
A231,,,,,
A232,,,,,
A233,,,,,
A234,,,,,
A235,,,,,
A236,,,,,
A237,,,,,
A238,,,,,
A239,,,,,
A24,,,,,
A240,,,,,
A241,,,,,
A242,,,,,
A243,,,,,
A244,,,,,
A245,,,,,
A246,,,,,
A247,,,,,
A248,,,,,
A249,,,,,
A25,,,,,
A250,,,,,
A251,,,,,
A252,,,,,
A253,,,,,
A254,,,,,
A255,,,,,
A256,,,,,
A257,,,,,
A258,,,,,
A259,,,,,
A26,,,,,
A260,,,,,
A261,,,,,
A262,,,,,
A263,,,,,
A264,,,,,
A265,,,,,
A266,,,,,
A267,,,,,
A268,,,,,
A269,,,,,
A27,,,,,
A270,,,,,
A271,,,,,
A272,,,,,
A273,,,,,
A274,,,,,
A275,,,,,
A276,,,,,
A277,,,,,
A278,,,,,
A279,,,,,
A28,,,,,
A280,,,,,
A281,,,,,
A282,,,,,
A283,,,,,
A284,,,,,
A285,,,,,
A286,,,,,
A287,,,,,
A288,,,,,
A289,,,,,
A29,,,,,
A290,,,,,
A291,,,,,
A292,,,,,
A293,,,,,
A294,,,,,
A295,,,,,
A296,,,,,
A297,,,,,
A298,,,,,
A299,,,,,
A3,,,,,
A30,,,,,
A300,,,,,
A301,,,,,
A302,,,,,
A303,,,,,
A304,,,,,
A305,,,,,
A306,,,,,
A307,,,,,
A308,,,,,
A309,,,,,
A31,,,,,
A310,,,,,
A311,,,,,
A312,,,,,
A313,,,,,
A314,,,,,
A315,,,,,
A316,,,,,
A317,,,,,
A318,,,,,
A319,,,,,
A32,,,,,
A320,,,,,
A321,,,,,
A322,,,,,
A323,,,,,
A324,,,,,
A325,,,,,
A326,,,,,
A327,,,,,
A328,,,,,
A329,,,,,
A33,,,,,
A330,,,,,
A331,,,,,
A332,,,,,
A333,,,,,
A334,,,,,
A335,,,,,
A336,,,,,
A337,,,,,
A338,,,,,
A339,,,,,
A34,,,,,
A340,,,,,
A341,,,,,
A342,,,,,
A343,,,,,
A344,,,,,
A345,,,,,
A346,,,,,
A347,,,,,
A348,,,,,
A349,,,,,
A35,,,,,
A350,,,,,
A351,,,,,
A352,,,,,
A353,,,,,
A354,,,,,
A355,,,,,
A356,,,,,
A357,,,,,
A358,,,,,
A359,,,,,
A36,,,,,
A360,,,,,
A361,,,,,
A362,,,,,
A363,,,,,
A364,,,,,
A365,,,,,
A366,,,,,
A367,,,,,
A368,,,,,
A369,,,,,
A37,,,,,
A370,,,,,
A371,,,,,
A372,,,,,
A373,,,,,
A374,,,,,
A375,,,,,
A376,,,,,
A377,,,,,
A378,,,,,
A379,,,,,
A38,,,,,
A380,,,,,
A381,,,,,
A382,,,,,
A383,,,,,
A384,,,,,
A385,,,,,
A386,,,,,
A387,,,,,
A388,,,,,
A389,,,,,
A39,,,,,
A390,,,,,
A391,,,,,
A392,,,,,
A393,,,,,
A394,,,,,
A395,,,,,
A396,,,,,
A397,,,,,
A398,,,,,
A399,,,,,
A4,,,,,
A400,,,,,
A401,,,,,
A402,,,,,
A403,,,,,
A404,,,,,
A405,,,,,
A406,,,,,
A407,,,,,
A408,,,,,
A409,,,,,
A41,,,,,
A410,,,,,
A411,,,,,
A412,,,,,
A413,,,,,
A414,,,,,
A415,,,,,
A416,,,,,
A417,,,,,
A418,,,,,
A419,,,,,
A42,,,,,
A420,,,,,
A421,,,,,
A422,,,,,
A423,,,,,
A424,,,,,
A425,,,,,
A426,,,,,
A427,,,,,
A428,,,,,
A429,,,,,
A43,,,,,
A430,,,,,
A431,,,,,
A432,,,,,
A433,,,,,
A434,,,,,
A435,,,,,
A436,,,,,
A437,,,,,
A438,,,,,
